GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5228,2019-09-07 09:13:30:507,-0.0669,0.6,9.208,0.0206,0.0282,9.8065,-0.0109,0.1046,-0.1181,-30,-30.31,5.94,287.7,-84.52,-168.39
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5327,2019-09-07 09:13:30:606,0.49,2.9401,9.8788,0.0048,0.0538,9.8065,-0.0086,0.251,-0.1865,-30.12,-31.31,6.38,285.03,-84.52,-170.83
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5427,2019-09-07 09:13:30:706,0.7012,1.7526,9.9663,0.0187,0.0034,9.8066,0.018,0.1332,-0.1305,-29.75,-30.75,5.44,279.45,-84.52,-174.43
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5528,2019-09-07 09:13:30:807,-0.1176,-1.0418,9.3239,-0.0229,0.0127,9.8066,-0.124,0.0303,-0.0866,-29.5,-30.81,6.38,279.86,-84.83,-176.44
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5627,2019-09-07 09:13:30:906,-0.12,-0.3955,9.8099,-0.0153,0.0541,9.8064,0.0336,0.1073,-0.1793,-29.56,-30.81,5.13,271.24,-84.95,176.95
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5727,2019-09-07 09:13:31:006,1.7077,4.1391,9.9649,-0.0142,-0.0504,9.8064,-0.0552,0.1,0.1424,-28.81,-30.12,4.56,268.21,-84.89,173.65
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5827,2019-09-07 09:13:31:106,0.697,0.3721,10.341,-0.0059,-0.0011,9.8066,0.059,0.1104,0.0813,-29.12,-30.62,4.75,273.07,-84.8,178.8
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,5927,2019-09-07 09:13:31:206,-0.4494,-0.059,10.5849,0.041,0.0083,9.8065,0.0324,0.22,0.0209,-28.75,-30.94,4.69,274.34,-84.69,-179.82
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 19,6027,2019-09-07 09:13:31:306,0.057,0.5705,9.9067,0.0275,0.0186,9.8066,-0.127,0.0591,0.1143,-28.44,-31.12,5.38,271.63,-84.25,177.81
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6127,2019-09-07 09:13:31:406,-1.3815,-0.5014,10.0549,-0.0156,-0.0025,9.8066,-0.1578,-0.0024,0.0608,-29.12,-31.37,5.19,271.89,-84.36,178.08
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6227,2019-09-07 09:13:31:506,-0.9361,-0.5315,10.1496,-0.0114,-0.0114,9.8066,0.1559,0.0099,-0.0249,-28.81,-30.31,5.06,273.03,-84.32,179.07
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6328,2019-09-07 09:13:31:607,0.6583,-0.8199,9.9457,0.0302,-0.0082,9.8065,0.1456,0.0036,-0.0002,-28.62,-30.87,5.81,275.48,-84.31,179.77
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6427,2019-09-07 09:13:31:706,-0.8883,-0.476,10.3413,0.0146,-0.0017,9.8066,-0.16,0.0159,-0.031,-29.06,-31.06,4.75,273.35,-84.16,179.76
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6527,2019-09-07 09:13:31:806,-0.3287,0.1728,9.576,-0.0063,0.0111,9.8066,-0.0454,0.0238,-0.0416,-28.94,-30.75,5.69,274.72,-84.23,179.1
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6627,2019-09-07 09:13:31:906,-0.7283,-0.3232,9.8891,0.0041,0.0138,9.8066,0.0572,-0.0024,-0.0386,-28.81,-30.75,4.94,271.22,-84.2,177.58
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6727,2019-09-07 09:13:32:006,-0.1402,0.0209,9.8757,0.0012,-0.0008,9.8066,0.1072,-0.0326,0.0122,-28.81,-30.62,5.5,271.86,-84.13,176.35
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6827,2019-09-07 09:13:32:106,0.4459,0.5018,10.3166,0.0015,-0.0087,9.8066,-0.0545,0.0534,-0.0298,-28.37,-31.37,5.44,270.7,-84.03,177.12
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,6927,2019-09-07 09:13:32:206,0.5861,-0.9184,10.1421,0.0242,-0.0077,9.8066,-0.0636,-0.0787,0.0514,-28.75,-31,5.19,270.99,-83.91,177.66
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7027,2019-09-07 09:13:32:306,-1.1821,-1.7849,10.4708,0.0107,-0.0094,9.8066,0.0872,-0.1226,0.0479,-28.81,-30.87,6.06,273.31,-83.95,178
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7127,2019-09-07 09:13:32:406,0.1713,-0.7896,10.5292,-0.0054,-0.0108,9.8066,0.0779,-0.0692,0.0006,-29.06,-31,5.38,271.93,-83.79,178.73
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7227,2019-09-07 09:13:32:506,-0.2768,-1.3116,10.2099,-0.0109,-0.0125,9.8066,0.0171,-0.0386,-0.0188,-29.31,-30.75,6.56,277.43,-83.69,-179.55
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7327,2019-09-07 09:13:32:606,-0.4753,-0.9641,10.5806,0.0362,-0.0098,9.8065,0.0102,-0.1272,0.0745,-29.37,-30.75,6.31,276.62,-83.4,-178.11
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7427,2019-09-07 09:13:32:706,-1.4767,-0.8914,10.1667,0.031,-0.013,9.8065,0.0597,-0.1134,0.0704,-29.81,-30.56,6.94,278.98,-83,-177.08
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7527,2019-09-07 09:13:32:806,-0.7508,-1.9598,10.579,0.0113,-0.0049,9.8066,0.0823,-0.1245,0.0223,-29.94,-30.75,7.19,279.12,-82.83,-176.77
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7627,2019-09-07 09:13:32:906,-1.3696,-1.3388,10.0823,0.0041,0.0053,9.8066,-0.0123,-0.1266,-0.0102,-30.06,-30.62,7,278.2,-82.57,-177.41
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7727,2019-09-07 09:13:33:006,-0.522,-1.3134,10.1513,0.0214,-0.0115,9.8065,-0.0035,-0.1357,0.0235,-30.12,-30.5,7.69,280.32,-82.37,-177.21
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7827,2019-09-07 09:13:33:106,-1.9267,-1.5303,9.8703,0.0198,-0.0006,9.8066,0.1176,-0.1669,0.0629,-30,-31.31,7.94,280.31,-82.05,-176.64
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,7927,2019-09-07 09:13:33:206,-1.796,-1.4035,10.158,0.0027,0.005,9.8066,0.0234,-0.1672,0.0144,-30.69,-30.75,8.69,281.97,-81.91,-176.42
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8027,2019-09-07 09:13:33:306,-2.0593,-0.3018,10.4641,0.0149,-0.0035,9.8066,0.0062,-0.197,0.019,-30.69,-30.81,9.44,281.6,-81.78,-176.66
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8128,2019-09-07 09:13:33:407,-1.6321,-1.6731,10.1682,0.026,-0.0109,9.8065,0.0658,-0.2053,0.0048,-31.19,-30.37,9.25,282.36,-81.46,-175.86
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8228,2019-09-07 09:13:33:507,-1.495,-1.6002,9.9541,0.0269,0.0043,9.8066,0.0785,-0.2,0.0241,-31.5,-30.5,10.19,283.86,-81.13,-175.85
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8327,2019-09-07 09:13:33:606,-0.567,-0.8404,9.9,0.0269,0.0111,9.8065,0.0574,-0.1646,0.0279,-31.31,-30.87,10.19,281.53,-80.76,-177.48
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8427,2019-09-07 09:13:33:706,-0.5775,-0.7206,9.4076,0.0081,-0.0058,9.8066,-0.0656,-0.206,0.0889,-31.12,-30.69,10.94,282.93,-80.66,-177.76
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8528,2019-09-07 09:13:33:807,-1.8306,-1.5382,9.4826,-0.0103,-0.0012,9.8066,-0.0655,-0.1661,0.0644,-31.69,-31.25,11.44,283.37,-80.75,-177.09
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8627,2019-09-07 09:13:33:906,-1.3235,-1.8155,9.0966,-0.0069,-0.0022,9.8066,-0.0271,-0.1262,-0.0074,-31.62,-30.56,10.94,284.07,-80.97,-176.62
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8727,2019-09-07 09:13:34:006,-1.1754,-2.33,9.4813,-0.0051,-0.0027,9.8066,-0.0301,-0.1652,0.0223,-31.94,-29.94,11.94,286.39,-81.14,-176.44
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8827,2019-09-07 09:13:34:106,-0.9703,-1.256,9.849,-0.0068,0.0115,9.8065,-0.028,-0.1666,0.0411,-31.62,-30.69,11.31,284.47,-81.32,-176.56
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,8927,2019-09-07 09:13:34:206,-1.4659,-1.0144,9.6041,-0.021,0.0107,9.8066,0.0176,-0.1288,-0.0162,-31.44,-30.19,11.44,284.46,-81.56,-177.4
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9027,2019-09-07 09:13:34:306,-1.0219,-1.5353,9.5593,0.0003,0.0069,9.8066,0.0056,-0.1778,0.0278,-32.62,-30.31,12.06,284.99,-81.67,-177.91
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9127,2019-09-07 09:13:34:406,-1.7832,-0.5385,9.6621,-0.0086,-0.0043,9.8066,-0.0359,-0.1071,0.026,-31.75,-30.5,12.13,285.5,-81.81,-177.92
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9227,2019-09-07 09:13:34:506,-1.2026,-1.1563,9.4769,-0.0206,-0.0052,9.8066,-0.1128,-0.1468,0.0604,-32.12,-29.94,12.94,288.04,-81.91,-177.16
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9328,2019-09-07 09:13:34:607,-1.6798,-1.675,9.9335,-0.0392,0.0176,9.8065,0.1293,-0.1071,-0.0128,-32.75,-30.44,12.5,288.5,-82.23,-176.57
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9427,2019-09-07 09:13:34:706,-0.6347,-0.057,9.8645,0.0206,0.0046,9.8066,0.0391,-0.0924,0.0074,-32.5,-29.87,12.56,289.02,-82.38,-176.63
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9527,2019-09-07 09:13:34:806,-0.5313,-0.5605,9.7004,0.0145,0.0029,9.8065,-0.1033,-0.0927,-0.0568,-32.81,-29.75,13,287.51,-82.37,-177.65
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9627,2019-09-07 09:13:34:906,-0.5827,-0.5459,9.6022,-0.0108,0.0043,9.8066,-0.0866,-0.1558,-0.0025,-32.5,-30.5,12.56,287.38,-82.56,-178.38
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9727,2019-09-07 09:13:35:006,-0.8794,-1.0126,9.5912,-0.013,-0.0022,9.8066,0.0631,-0.1736,-0.0027,-32.19,-29.87,13.19,287.85,-82.56,-177.93
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9827,2019-09-07 09:13:35:106,-1.8889,-0.5331,9.4907,-0.0073,0.0111,9.8066,0.0046,-0.1294,-0.008,-32.37,-29.94,13.69,289.35,-82.56,-178.06
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,9927,2019-09-07 09:13:35:206,-1.6122,-0.3646,9.7278,-0.0019,0.0064,9.8066,-0.0079,-0.1343,0.0268,-32.5,-30.19,13.13,286.66,-82.65,-179.16
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10028,2019-09-07 09:13:35:307,-0.5051,-1.1036,9.7851,-0.0053,0.0072,9.8066,-0.0006,-0.1218,-0.0092,-33.12,-29.75,14.38,286.43,-82.76,179.42
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10127,2019-09-07 09:13:35:406,-0.0485,-0.4807,9.8695,-0.0127,0.0204,9.8065,0.0859,-0.0837,-0.0393,-32.31,-30.56,13.63,285.5,-82.85,178.14
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10227,2019-09-07 09:13:35:506,-0.4537,-0.16,9.2489,-0.0037,0.0062,9.8066,-0.06,-0.1018,0.0178,-32.44,-30.31,13.56,283.73,-82.9,176.17
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10327,2019-09-07 09:13:35:606,-1.202,-0.1461,9.0476,-0.0086,0.0001,9.8066,-0.1051,-0.0508,-0.0297,-32.56,-30.62,14.31,283.03,-83.09,176
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10427,2019-09-07 09:13:35:706,-1.4251,-0.4963,9.8043,-0.0272,0.0116,9.8065,-0.0392,-0.0683,0.0011,-32.25,-30.12,13.5,282.89,-83.58,174.74
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10527,2019-09-07 09:13:35:806,-2.0613,-0.5779,10.1568,-0.0229,0.0143,9.8066,-0.1025,-0.105,0.0009,-32.25,-29.69,13.75,282.43,-83.82,174.08
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10628,2019-09-07 09:13:35:907,-1.3202,-0.0967,9.7997,-0.006,0.0243,9.8065,0.123,-0.0835,-0.021,-32.56,-30.25,13.88,281.08,-83.95,173.14
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10727,2019-09-07 09:13:36:006,0.3033,-0.0435,9.0178,-0.0086,0.0135,9.8066,0.0646,-0.0737,-0.0039,-31.75,-30.31,13.81,279.05,-83.98,170.6
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10827,2019-09-07 09:13:36:106,-0.2409,-1.2068,9.9948,0.017,-0.0163,9.8066,-0.0512,-0.1029,0.0455,-32.25,-30.25,14.13,279.05,-83.8,170.76
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,10927,2019-09-07 09:13:36:206,-0.6116,-0.8334,9.946,-0.0073,-0.0163,9.8066,0.0201,-0.0621,0.0375,-32.31,-29.69,14.13,280.05,-83.95,171.62
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11028,2019-09-07 09:13:36:307,-0.9896,-0.4687,9.7392,-0.0107,-0.0042,9.8065,-0.1026,-0.0726,0.0356,-32.44,-30.06,14.75,283.1,-84.16,172.9
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11130,2019-09-07 09:13:36:409,-1.9126,-1.1296,9.7761,-0.0186,-0.0137,9.8066,-0.0698,-0.1556,0.1111,-33,-29.56,14.75,284.97,-84.54,174.98
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11227,2019-09-07 09:13:36:506,-1.2238,0,9.6983,-0.0161,0.0002,9.8066,-0.0269,-0.0576,-0.0071,-33.25,-29.44,14.56,287.72,-84.74,177.37
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11327,2019-09-07 09:13:36:606,-1.6074,-0.744,10.0508,0.0088,-0.0125,9.8066,-0.0303,-0.1063,0.0225,-32.75,-28.94,14.69,289.62,-84.83,179.16
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11428,2019-09-07 09:13:36:707,-0.7678,-0.495,9.5268,-0.0091,0.0201,9.8065,-0.0134,-0.1236,-0.0086,-33.44,-29.87,14.63,288.34,-84.85,178.02
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11527,2019-09-07 09:13:36:806,0.0754,-1.2189,9.7412,0.0179,-0.0005,9.8066,-0.0575,-0.0769,-0.0341,-33,-29.37,14.94,286.59,-84.73,176.26
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11627,2019-09-07 09:13:36:906,0.095,-1.4424,9.9407,0.0057,-0.006,9.8066,-0.0345,-0.1557,0.0313,-33,-29.31,15.63,289.07,-84.6,177.33
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11727,2019-09-07 09:13:37:006,-0.9129,-1.5286,9.6748,-0.0071,0.0113,9.8065,0.0053,-0.0779,-0.0011,-33.31,-30,15.75,287.94,-84.68,176.31
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11828,2019-09-07 09:13:37:107,-0.677,-1.0468,9.7007,0.0032,0.004,9.8066,0.0615,-0.1278,0.0237,-32.94,-29.81,15.38,285.86,-84.81,175.62
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,11927,2019-09-07 09:13:37:206,-0.2638,-0.5253,9.944,-0.0092,-0.0103,9.8066,-0.0796,-0.1396,0.0648,-33.19,-29.19,15.56,288.15,-84.96,176.15
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12027,2019-09-07 09:13:37:306,-0.2009,0.0663,9.5527,0.0007,0.0139,9.8066,-0.0466,-0.0448,-0.0679,-33.25,-29.31,15.63,289.15,-85.11,177.01
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12127,2019-09-07 09:13:37:406,-0.8059,-1.1865,9.486,0.007,-0.0051,9.8066,-0.0283,-0.1071,-0.0096,-32.81,-29.5,16.19,288.07,-85.2,175.89
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12227,2019-09-07 09:13:37:506,-1.1075,0.2267,9.3866,-0.0394,0.0144,9.8065,-0.1251,-0.0273,-0.0266,-32.81,-29.62,15.94,287.7,-85.1,175.73
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12327,2019-09-07 09:13:37:606,-0.8267,-0.9922,9.608,-0.0233,0.0087,9.8066,0.08,-0.1088,0.0301,-32.94,-29,16,289.12,-85.23,176.88
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12427,2019-09-07 09:13:37:706,-1.6518,-1.2699,10.0412,0.0057,-0.0075,9.8065,0.0161,-0.1617,0.0526,-32.62,-29,16.75,292.07,-85.07,178.46
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12527,2019-09-07 09:13:37:806,-0.6274,-1.5596,10.1677,-0.0212,0.0107,9.8066,0.1187,-0.0731,-0.0996,-33,-29.87,17,291.96,-85.03,178.52
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12628,2019-09-07 09:13:37:907,-0.5606,-0.2044,10.4864,0.0103,-0.0224,9.8066,-0.0208,-0.2286,0.0368,-32.94,-28.75,17.56,289.9,-84.94,175.05
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12727,2019-09-07 09:13:38:006,0.3858,-2.1777,9.1168,-0.0216,-0.021,9.8066,-0.0077,-0.2147,0.0874,-32.87,-28.56,17.81,291.88,-84.84,177.06
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12828,2019-09-07 09:13:38:107,-0.7291,1.092,9.0549,0.0324,-0.0127,9.8065,-0.0993,0.0555,-0.0581,-32.62,-29.31,18.13,291.15,-84.62,176.51
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,12927,2019-09-07 09:13:38:206,-1.2726,0.6376,9.6053,0.0343,-0.0035,9.8065,0.0862,-0.066,0.0143,-32.37,-29.12,18.13,291.9,-84.6,176.6
52.402565,-1.503471,144.59,5.84,4,92.89,18 / 20,13027,2019-09-07 09:13:38:306,0.6275,0.6492,10.1664,-0.0334,0.0248,9.8065,-0.0178,0.0706,-0.0717,-33.06,-29.37,18.25,291.16,-84.61,176.52
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13128,2019-09-07 09:13:38:407,-1.413,-0.4485,10.0308,0.004,0.0095,9.8066,-0.0572,-0.0936,0.0476,-32.62,-28.69,19,292.77,-84.82,176.58
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13227,2019-09-07 09:13:38:506,-1.5249,-0.3882,10.0631,-0.0145,-0.0128,9.8066,0.0534,-0.0631,-0.0008,-33.19,-28.62,19.56,295.22,-84.81,177.64
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13327,2019-09-07 09:13:38:606,-0.2102,-1.237,9.6656,-0.0243,0.0043,9.8065,0.1289,-0.1114,0.0328,-33.19,-29.06,19.13,294.4,-84.83,178.15
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13427,2019-09-07 09:13:38:706,-0.817,-1.0134,9.7091,0.0072,-0.0098,9.8065,-0.0412,-0.1247,0.0579,-32.87,-28.37,19.06,294.67,-84.76,178.34
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13528,2019-09-07 09:13:38:807,-0.9233,-0.9625,9.5178,-0.0036,-0.0046,9.8066,-0.0208,-0.1045,0.0092,-32.69,-28.62,19,295.68,-84.78,179.44
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13627,2019-09-07 09:13:38:906,-1.6688,-1.0272,9.7419,-0.0229,0.0211,9.8065,-0.0027,-0.1403,0.029,-33.12,-28.75,19.38,294.78,-85.03,178.37
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13728,2019-09-07 09:13:39:007,0.2638,-0.9328,9.7378,-0.0266,0.0117,9.8066,0.0549,-0.0797,-0.0109,-32.25,-28.37,19.69,297,-85.18,178.27
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13828,2019-09-07 09:13:39:107,-1.5139,-0.7224,10.2259,0.0049,-0.0127,9.8066,0.0228,-0.1017,0.017,-33.31,-29.12,19.5,296.26,-85.2,178.37
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,13928,2019-09-07 09:13:39:207,-0.4147,-0.8584,9.4373,-0.0004,0.0064,9.8066,0.0119,-0.0827,-0.0171,-32.19,-28.56,20,297.18,-85.13,178.59
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14028,2019-09-07 09:13:39:307,-0.0204,-0.8294,9.9211,0.0133,-0.0157,9.8066,-0.081,-0.1011,0.0073,-32.19,-28.75,20,296.7,-85.08,178.16
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14128,2019-09-07 09:13:39:407,-0.7078,-0.9823,9.7287,0.0088,-0.0084,9.8066,0.0174,-0.1076,-0.0114,-32.56,-28.25,20.56,298.18,-85,178.96
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14227,2019-09-07 09:13:39:506,-1.1332,-0.6272,9.6417,0.0027,-0.0057,9.8066,-0.0928,-0.0903,0.0031,-32.25,-29,20.94,298.92,-85.04,179.03
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14327,2019-09-07 09:13:39:606,-0.4495,-0.831,10.0964,-0.0113,0.0057,9.8066,0.0846,-0.099,0.0301,-33.12,-27.75,20.88,299.52,-85.16,-179.84
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14427,2019-09-07 09:13:39:706,-0.403,-0.7257,9.6966,-0.0187,0.0152,9.8066,0.0831,-0.097,0.0057,-32.56,-28.31,21.19,299.7,-85.29,-179.76
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14527,2019-09-07 09:13:39:806,0.2437,-0.0126,9.4967,-0.0016,-0.0167,9.8066,-0.0177,-0.1123,0.075,-32.06,-27.87,20.81,300.79,-85.27,-179.42
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14627,2019-09-07 09:13:39:906,-0.9768,-1.7905,9.6155,-0.021,-0.0267,9.8065,-0.0581,-0.1152,0.0827,-33.44,-27.94,21.06,305.55,-85.26,-174.07
52.402824,-1.502642,146.99,6.81,3,92.89,18 / 20,14727,2019-09-07 09:13:40:006,-1.1661,-1.6497,9.9455,-0.0183,-0.0104,9.8066,-0.0046,-0.0522,-0.0045,-32.94,-27.81,20.81,308.9,-85.31,-170.86
